2025-04-25 07:09:26.556 | SUCCESS  | __main__:process_website:90 - Successfully processed article: With eyes on Pakistan, India speeds up launch of special spy satellite
2025-04-25 07:09:26.556 | INFO     | __main__:process_website:65 - Processing article 10/10: On India’s Indus Waters Treaty Suspension Move, Pak’s “Act Of War” Response
2025-04-25 07:09:26.556 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://idrw.org/on-indias-indus-waters-treaty-suspension-move-paks-act-of-war-response/
2025-04-25 07:09:30.765 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: On India’s Indus Waters Treaty Suspension Move, Pak’s “Act Of War” Response
2025-04-25 07:09:30.765 | SUCCESS  | __main__:process_website:90 - Successfully processed article: On India’s Indus Waters Treaty Suspension Move, Pak’s “Act Of War” Response
2025-04-25 07:09:30.766 | INFO     | __main__:process_website:52 - Processing articles from: https://www.strategicstudyindia.com
2025-04-25 07:09:33.904 | INFO     | __main__:process_website:65 - Processing article 1/10: How the U.K. Deal on Diego Garcia Could Reshape U.S. Military in the Indian Ocean
2025-04-25 07:09:33.905 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/how-uk-deal-on-diego-garcia-could.html
2025-04-25 07:09:41.685 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: How the U.K. Deal on Diego Garcia Could Reshape U.S. Military in the Indian Ocean
2025-04-25 07:09:41.686 | SUCCESS  | __main__:process_website:90 - Successfully processed article: How the U.K. Deal on Diego Garcia Could Reshape U.S. Military in the Indian Ocean
2025-04-25 07:09:41.686 | INFO     | __main__:process_website:65 - Processing article 2/10: SE Asia keeps the peace 50 years after Vietnam War
2025-04-25 07:09:41.686 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/se-asia-keeps-peace-50-years-after.html
2025-04-25 07:09:47.793 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: SE Asia keeps the peace 50 years after Vietnam War
2025-04-25 07:09:47.794 | SUCCESS  | __main__:process_website:90 - Successfully processed article: SE Asia keeps the peace 50 years after Vietnam War
2025-04-25 07:09:47.794 | INFO     | __main__:process_website:65 - Processing article 3/10: Shattered Hegemony: Rivalry Between US And China In New Era Of Politics Of Force – Analysis
2025-04-25 07:09:47.795 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/shattered-hegemony-rivalry-between-us.html
2025-04-25 07:09:54.030 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Shattered Hegemony: Rivalry Between US And China In New Era Of Politics Of Force – Analysis
2025-04-25 07:09:54.032 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Shattered Hegemony: Rivalry Between US And China In New Era Of Politics Of Force – Analysis
2025-04-25 07:09:54.032 | INFO     | __main__:process_website:65 - Processing article 4/10: China’s deceitful, disastrous projects in Latin America and Africa
2025-04-25 07:09:54.032 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/chinas-deceitful-disastrous-projects-in.html
2025-04-25 07:10:00.931 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: China’s deceitful, disastrous projects in Latin America and Africa
2025-04-25 07:10:00.932 | SUCCESS  | __main__:process_website:90 - Successfully processed article: China’s deceitful, disastrous projects in Latin America and Africa
2025-04-25 07:10:00.932 | INFO     | __main__:process_website:65 - Processing article 5/10: Moon, Mars — China leads to both - Opinion
2025-04-25 07:10:00.933 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/moon-mars-china-leads-to-both-opinion.html
2025-04-25 07:10:07.623 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Moon, Mars — China leads to both - Opinion
2025-04-25 07:10:07.626 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Moon, Mars — China leads to both - Opinion
2025-04-25 07:10:07.626 | INFO     | __main__:process_website:65 - Processing article 6/10: Hegseth Said to Have Shared Attack Details in Second Signal Chat
2025-04-25 07:10:07.626 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/hegseth-said-to-have-shared-attack_01183485983.html
2025-04-25 07:10:14.057 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Hegseth Said to Have Shared Attack Details in Second Signal Chat
2025-04-25 07:10:14.057 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Hegseth Said to Have Shared Attack Details in Second Signal Chat
2025-04-25 07:10:14.057 | INFO     | __main__:process_website:65 - Processing article 7/10: Command: The Politics of Military Operations from Korea to Ukraine
2025-04-25 07:10:14.058 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/command-politics-of-military-operations.html
2025-04-25 07:10:20.331 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Command: The Politics of Military Operations from Korea to Ukraine
2025-04-25 07:10:20.332 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Command: The Politics of Military Operations from Korea to Ukraine
2025-04-25 07:10:20.332 | INFO     | __main__:process_website:65 - Processing article 8/10: This Is How Washington Loses the Pacific Islands
2025-04-25 07:10:20.332 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/this-is-how-washington-loses-pacific.html
2025-04-25 07:10:26.982 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: This Is How Washington Loses the Pacific Islands
2025-04-25 07:10:26.983 | SUCCESS  | __main__:process_website:90 - Successfully processed article: This Is How Washington Loses the Pacific Islands
2025-04-25 07:10:26.983 | INFO     | __main__:process_website:65 - Processing article 9/10: Pentagon “Meltdown”: Will Donald Trump Dump Pete Hegseth?
2025-04-25 07:10:26.983 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/pentagon-meltdown-will-donald-trump.html
2025-04-25 07:10:34.727 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Pentagon “Meltdown”: Will Donald Trump Dump Pete Hegseth?
2025-04-25 07:10:34.728 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Pentagon “Meltdown”: Will Donald Trump Dump Pete Hegseth?
2025-04-25 07:10:34.728 | INFO     | __main__:process_website:65 - Processing article 10/10: Is US Manufacturing Truly As Fragile As It Seems? – Analysis
2025-04-25 07:10:34.729 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://www.strategicstudyindia.com/2025/04/is-us-manufacturing-truly-as-fragile-as.html
2025-04-25 07:10:41.073 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Is US Manufacturing Truly As Fragile As It Seems? – Analysis
2025-04-25 07:10:41.074 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Is US Manufacturing Truly As Fragile As It Seems? – Analysis
2025-04-25 07:10:41.075 | INFO     | __main__:process_website:52 - Processing articles from: https://www.e-ir.info
2025-04-25 07:10:42.207 | INFO     | __main__:main:192 - 
Analysis Complete
2025-04-25 07:10:42.207 | INFO     | __main__:main:193 - Total articles processed: 20
2025-04-25 07:10:42.207 | INFO     | __main__:main:194 - Results saved in: analysis
2025-04-25 07:10:42.207 | INFO     | __main__:main:197 - 
Most similar articles:
